3m      6m      1y       2y      3y      4y      5y      6y      7y      8y      9y     10y     15y     20y      30y        
0.007	0.006	0.009	0.051	0.114	0.195	0.243	0.347	0.45	0.56	0.636	0.743	0.947	1.154	1.256
0.01	0.01	0.012	0.046	0.119	0.192	0.246	0.34	0.436	0.545	0.622	0.714	0.926	1.123	1.242
0.01	0.01	0.008	0.042	0.104	0.17	0.235	0.319	0.403	0.505	0.581	0.664	0.851	1.006	1.102
0.01	0.01	0.006	0.042	0.102	0.17	0.223	0.304	0.386	0.495	0.57	0.661	0.83	0.987	1.11
0.008	0.009	0.013	0.021	0.089	0.15	0.203	0.281	0.36	0.471	0.548	0.641	0.798	0.962	1.124
0.007	0.007	0.015	0.028	0.079	0.14	0.187	0.267	0.348	0.456	0.533	0.617	0.768	0.917	1.115
0.006	0.007	0.01	0.027	0.076	0.132	0.174	0.251	0.328	0.439	0.518	0.623	0.774	0.913	1.075
0.008	0.008	0.01	0.022	0.064	0.124	0.172	0.25	0.328	0.446	0.511	0.624	0.807	0.981	1.143
0.01	0.009	0.011	0.022	0.07	0.121	0.162	0.217	0.273	0.389	0.471	0.573	0.768	0.944	1.154
0.006	0.007	0.01	0.012	0.067	0.11	0.156	0.209	0.263	0.368	0.442	0.529	0.731	0.919	1.162
0.007	0.006	0.011	0.018	0.07	0.12	0.162	0.208	0.255	0.345	0.401	0.468	0.662	0.809	1.043
0.005	0.007	0.012	0.034	0.101	0.15	0.238	0.322	0.406	0.499	0.559	0.642	0.807	1.01	1.252
0.006	0.007	0.012	0.044	0.138	0.222	0.303	0.404	0.506	0.616	0.671	0.786	0.925	1.156	1.366
0.008	0.009	0.017	0.101	0.226	0.36	0.485	0.616	0.748	0.902	1.001	1.114	1.302	1.553	1.707
0.012	0.015	0.019	0.086	0.17	0.278	0.395	0.535	0.677	0.839	0.92	1.045	1.22	1.418	1.686
0.011	0.014	0.02	0.094	0.184	0.284	0.381	0.518	0.656	0.83	0.894	1.002	1.211	1.36	1.655
0.006	0.01	0.017	0.067	0.15	0.266	0.335	0.473	0.613	0.807	0.893	1.039	1.289	1.486	1.803
0.003	0.008	0.02	0.059	0.148	0.264	0.346	0.476	0.608	0.794	0.887	1.042	1.258	1.472	1.8
0.003	0.006	0.023	0.053	0.143	0.244	0.321	0.444	0.567	0.727	0.81	0.978	1.237	1.439	1.694
0.005	0.007	0.022	0.079	0.224	0.339	0.423	0.584	0.746	0.935	0.998	1.213	1.508	1.693	1.955
0.01	0.016	0.036	0.182	0.327	0.494	0.603	0.786	0.972	1.189	1.259	1.447	1.672	1.89	2.125
0.011	0.017	0.039	0.194	0.358	0.56	0.712	0.906	1.102	1.331	1.386	1.515	1.75	1.933	2.109
0.013	0.018	0.023	0.169	0.376	0.655	0.84	1.047	1.258	1.452	1.474	1.567	1.731	1.913	2.103
0.02	0.02	0.021	0.184	0.41	0.569	0.744	0.97	1.199	1.418	1.503	1.634	1.831	2.033	2.214
0.027	0.028	0.023	0.152	0.343	0.492	0.621	0.832	1.046	1.277	1.356	1.481	1.69	1.9	2.08
0.015	0.024	0.027	0.174	0.349	0.515	0.642	0.845	1.05	1.277	1.366	1.489	1.739	1.923	2.124
0.014	0.018	0.023	0.135	0.282	0.452	0.588	0.801	1.017	1.236	1.331	1.459	1.718	1.904	2.102
